"","Species","CU_Name","ReturnYear","MU_Name","CU_ID","Wild_Escapement"
"1","Coho","Fraser_Canyon",1998,"IF Coho",2,5460
"2","Coho","Fraser_Canyon",1999,"IF Coho",2,4096
"3","Coho","Fraser_Canyon",2000,"IF Coho",2,2719
"4","Coho","Fraser_Canyon",2001,"IF Coho",2,5971
"5","Coho","Fraser_Canyon",2002,"IF Coho",2,3817
"6","Coho","Fraser_Canyon",2003,"IF Coho",2,4552
"7","Coho","Fraser_Canyon",2004,"IF Coho",2,5872
"8","Coho","Fraser_Canyon",2005,"IF Coho",2,2269
"9","Coho","Fraser_Canyon",2006,"IF Coho",2,1605
"10","Coho","Fraser_Canyon",2007,"IF Coho",2,2739
"11","Coho","Fraser_Canyon",2008,"IF Coho",2,1138
"12","Coho","Fraser_Canyon",2009,"IF Coho",2,2308
"13","Coho","Fraser_Canyon",2010,"IF Coho",2,2227
"14","Coho","Fraser_Canyon",2011,"IF Coho",2,3189
"15","Coho","Fraser_Canyon",2012,"IF Coho",2,5134
"16","Coho","Fraser_Canyon",2013,"IF Coho",2,5398
"17","Coho","Fraser_Canyon",2014,"IF Coho",2,1048
"18","Coho","Fraser_Canyon",2015,"IF Coho",2,352
"19","Coho","Fraser_Canyon",2016,"IF Coho",2,1160
"20","Coho","Fraser_Canyon",2017,"IF Coho",2,1657
"21","Coho","Fraser_Canyon",2018,"IF Coho",2,4916
"22","Coho","Fraser_Canyon",2019,"IF Coho",2,3259
"23","Coho","Lower_Thompson",1998,"IF Coho",3,466
"24","Coho","Lower_Thompson",1999,"IF Coho",3,1298
"25","Coho","Lower_Thompson",2000,"IF Coho",3,2543
"26","Coho","Lower_Thompson",2001,"IF Coho",3,4825
"27","Coho","Lower_Thompson",2002,"IF Coho",3,4280
"28","Coho","Lower_Thompson",2003,"IF Coho",3,1866
"29","Coho","Lower_Thompson",2004,"IF Coho",3,2195
"30","Coho","Lower_Thompson",2005,"IF Coho",3,1756
"31","Coho","Lower_Thompson",2006,"IF Coho",3,1069
"32","Coho","Lower_Thompson",2007,"IF Coho",3,8298
"33","Coho","Lower_Thompson",2008,"IF Coho",3,3335
"34","Coho","Lower_Thompson",2009,"IF Coho",3,3626
"35","Coho","Lower_Thompson",2010,"IF Coho",3,10923
"36","Coho","Lower_Thompson",2011,"IF Coho",3,6324
"37","Coho","Lower_Thompson",2012,"IF Coho",3,10405
"38","Coho","Lower_Thompson",2013,"IF Coho",3,11282
"39","Coho","Lower_Thompson",2014,"IF Coho",3,6101
"40","Coho","Lower_Thompson",2015,"IF Coho",3,4335
"41","Coho","Lower_Thompson",2016,"IF Coho",3,12417
"42","Coho","Lower_Thompson",2017,"IF Coho",3,3571
"43","Coho","Lower_Thompson",2018,"IF Coho",3,6441
"44","Coho","Lower_Thompson",2019,"IF Coho",3,8409
"45","Coho","Middle_Fraser",1998,"IF Coho",1,4832
"46","Coho","Middle_Fraser",1999,"IF Coho",1,1606
"47","Coho","Middle_Fraser",2000,"IF Coho",1,3857
"48","Coho","Middle_Fraser",2001,"IF Coho",1,5798
"49","Coho","Middle_Fraser",2002,"IF Coho",1,4034
"50","Coho","Middle_Fraser",2003,"IF Coho",1,3809
"51","Coho","Middle_Fraser",2004,"IF Coho",1,4760
"52","Coho","Middle_Fraser",2005,"IF Coho",1,2189
"53","Coho","Middle_Fraser",2006,"IF Coho",1,1301
"54","Coho","Middle_Fraser",2007,"IF Coho",1,9958
"55","Coho","Middle_Fraser",2008,"IF Coho",1,1464
"56","Coho","Middle_Fraser",2009,"IF Coho",1,2306
"57","Coho","Middle_Fraser",2010,"IF Coho",1,4689
"58","Coho","Middle_Fraser",2011,"IF Coho",1,3920
"59","Coho","Middle_Fraser",2012,"IF Coho",1,7127
"60","Coho","Middle_Fraser",2013,"IF Coho",1,11613
"61","Coho","Middle_Fraser",2014,"IF Coho",1,3082
"62","Coho","Middle_Fraser",2015,"IF Coho",1,1354
"63","Coho","Middle_Fraser",2016,"IF Coho",1,13601
"64","Coho","Middle_Fraser",2017,"IF Coho",1,4001
"65","Coho","Middle_Fraser",2018,"IF Coho",1,3544
"66","Coho","Middle_Fraser",2019,"IF Coho",1,3779
"67","Coho","North_Thompson",1998,"IF Coho",4,9269
"68","Coho","North_Thompson",1999,"IF Coho",4,10488
"69","Coho","North_Thompson",2000,"IF Coho",4,5435
"70","Coho","North_Thompson",2001,"IF Coho",4,24209
"71","Coho","North_Thompson",2002,"IF Coho",4,19069
"72","Coho","North_Thompson",2003,"IF Coho",4,6048
"73","Coho","North_Thompson",2004,"IF Coho",4,9891
"74","Coho","North_Thompson",2005,"IF Coho",4,3903
"75","Coho","North_Thompson",2006,"IF Coho",4,3383
"76","Coho","North_Thompson",2007,"IF Coho",4,23967
"77","Coho","North_Thompson",2008,"IF Coho",4,3457
"78","Coho","North_Thompson",2009,"IF Coho",4,9092
"79","Coho","North_Thompson",2010,"IF Coho",4,11644
"80","Coho","North_Thompson",2011,"IF Coho",4,8345
"81","Coho","North_Thompson",2012,"IF Coho",4,19389
"82","Coho","North_Thompson",2013,"IF Coho",4,15694
"83","Coho","North_Thompson",2014,"IF Coho",4,5125
"84","Coho","North_Thompson",2015,"IF Coho",4,3102
"85","Coho","North_Thompson",2016,"IF Coho",4,16789
"86","Coho","North_Thompson",2017,"IF Coho",4,11761
"87","Coho","North_Thompson",2018,"IF Coho",4,11135
"88","Coho","North_Thompson",2019,"IF Coho",4,15114
"89","Coho","South_Thompson",1998,"IF Coho",5,5105
"90","Coho","South_Thompson",1999,"IF Coho",5,3081
"91","Coho","South_Thompson",2000,"IF Coho",5,3251
"92","Coho","South_Thompson",2001,"IF Coho",5,11197
"93","Coho","South_Thompson",2002,"IF Coho",5,9748
"94","Coho","South_Thompson",2003,"IF Coho",5,3016
"95","Coho","South_Thompson",2004,"IF Coho",5,15052
"96","Coho","South_Thompson",2005,"IF Coho",5,2071
"97","Coho","South_Thompson",2006,"IF Coho",5,1953
"98","Coho","South_Thompson",2007,"IF Coho",5,11686
"99","Coho","South_Thompson",2008,"IF Coho",5,6117
"100","Coho","South_Thompson",2009,"IF Coho",5,3647
"101","Coho","South_Thompson",2010,"IF Coho",5,8452
"102","Coho","South_Thompson",2011,"IF Coho",5,3718
"103","Coho","South_Thompson",2012,"IF Coho",5,12847
"104","Coho","South_Thompson",2013,"IF Coho",5,11616
"105","Coho","South_Thompson",2014,"IF Coho",5,1525
"106","Coho","South_Thompson",2015,"IF Coho",5,1858
"107","Coho","South_Thompson",2016,"IF Coho",5,13807
"108","Coho","South_Thompson",2017,"IF Coho",5,2326
"109","Coho","South_Thompson",2018,"IF Coho",5,5145
"110","Coho","South_Thompson",2019,"IF Coho",5,7348
