"","Scenario","CU","alpha","alpha_sd","beta","beta_sd","sigma","sigma_sd","Sgen","Sgen_sd"
"1","Tau_a~gamma(0.01,0.01), Tau~gamma(0.01,0.01), ","Middle_Fraser",2.53733257180708,0.149646549064638,1.25912513234655e-07,2.85665827960727e-07,0.512572172110434,0.183619338200511,1553.35100198062,760.961874011769
"2","Tau_a~gamma(0.01,0.01), Tau~gamma(0.1,0.1), ","Fraser_Canyon",2.6351506948834,0.160522908401274,3.09271226151775e-07,2.00838855542838e-07,0.648056889797095,0.18347794679387,597.879146870688,491.872079216046
"3","Tau_a~gamma(0.01,0.01), Tau~gamma(1,1), ","Lower_Thompson",2.58606058930346,0.154341096337722,1.25332637588199e-07,2.18616145684529e-07,0.63144068005906,0.182469306619201,1551.18864710111,684.694677967156
"4","Tau_a~gamma(0.1,0.1), Tau~gamma(0.01,0.01), ","North_Thompson",2.66776554923906,0.14788956962878,7.45109513459075e-08,1.74037366838121e-07,0.46484343054042,0.184092519631841,2566.12093358311,750.784342861112
"5","Tau_a~gamma(0.1,0.1), Tau~gamma(0.1,0.1), ","South_Thompson",2.54593046021632,0.153442438035408,9.25089274703113e-08,2.67155702498587e-07,0.611318260868972,0.183410621063159,2113.41365064817,843.351506363204
"6","Tau_a~gamma(0.1,0.1), Tau~gamma(1,1), ","Middle_Fraser",2.53268705385167,0.150636871013627,1.2603016710811e-07,2.89299295873954e-07,0.521076664590616,0.182483919641866,1551.82637523649,764.034911927333
"7","Tau_a~gamma(1,1), Tau~gamma(0.01,0.01), ","Fraser_Canyon",2.62932273293707,0.161246853910612,3.09151826841668e-07,2.02448684326126e-07,0.653344776658252,0.182363505859192,598.345802991619,492.796785337953
"8","Tau_a~gamma(1,1), Tau~gamma(0.1,0.1), ","Lower_Thompson",2.58058322573756,0.155116702479713,1.25329352938564e-07,2.20447253213249e-07,0.636985628185419,0.181384812412253,1551.29953748763,686.48610992566
"9","Tau_a~gamma(1,1), Tau~gamma(1,1), ","North_Thompson",2.66062651164168,0.149004548315717,7.44050068319861e-08,1.77287027242508e-07,0.474959080839166,0.182937163485903,2571.0472887912,758.448908345816
"10","Tau_a~gamma(0.01,0.01), Tau~gamma(0.01,0.01), ","South_Thompson",2.54077613564375,0.154245949647492,9.25367623639139e-08,2.69502605758362e-07,0.617389756412188,0.18229328987004,2112.76544920116,846.818881211307
"11","Tau_a~gamma(0.01,0.01), Tau~gamma(0.1,0.1), ","Middle_Fraser",2.49799528056209,0.159173500178762,1.26802748832396e-07,3.19379136282039e-07,0.590799207658806,0.172251934522724,1541.90020304848,791.146704611886
"12","Tau_a~gamma(0.01,0.01), Tau~gamma(1,1), ","Fraser_Canyon",2.58667484789084,0.168043324101986,3.08313914319735e-07,2.16267210328316e-07,0.698340120204684,0.172252625753032,601.650068452526,500.086821214105
"13","Tau_a~gamma(0.1,0.1), Tau~gamma(0.01,0.01), ","Lower_Thompson",2.5403166018027,0.162240557505558,1.25301325627374e-07,2.36173111440005e-07,0.68419243071063,0.171507996471316,1552.15535265524,702.115442297274
"14","Tau_a~gamma(0.1,0.1), Tau~gamma(0.1,0.1), ","North_Thompson",2.60932762115118,0.158290712002079,7.36964738768631e-08,2.03063649127296e-07,0.555920708793443,0.172557012462808,2604.17743748183,819.782965894369
"15","Tau_a~gamma(0.1,0.1), Tau~gamma(1,1), ","South_Thompson",2.50272062398605,0.161552126612326,9.2721652321071e-08,2.89586703544481e-07,0.668575031573238,0.172172575653282,2108.48622715786,877.340592267849
"16","Tau_a~gamma(1,1), Tau~gamma(0.01,0.01), ","Middle_Fraser",2.481672528706,0.223622953779981,1.18314504888984e-07,3.37299788225417e-07,0.510386682045351,0.182931887240858,1656.65944495724,847.70758026347
"17","Tau_a~gamma(1,1), Tau~gamma(0.1,0.1), ","Fraser_Canyon",2.68494776786246,0.254136750543774,3.22919709094674e-07,2.32519689582409e-07,0.644972874866229,0.183426866986465,559.838566593817,474.553734886564
"18","Tau_a~gamma(1,1), Tau~gamma(1,1), ","Lower_Thompson",2.57004503515499,0.236306418198443,1.24524051123709e-07,2.5117518711812e-07,0.631289855404255,0.18248410665191,1563.16118195665,724.94032092431
"19","Tau_a~gamma(0.01,0.01), Tau~gamma(0.01,0.01), ","North_Thompson",2.71673365372021,0.218366677990504,7.80265894275852e-08,1.82381721184272e-07,0.461627082560212,0.18316855906404,2410.44740530605,751.834630450825
"20","Tau_a~gamma(0.01,0.01), Tau~gamma(0.1,0.1), ","South_Thompson",2.48938299115446,0.233521911917036,8.78040528396719e-08,3.16915171096844e-07,0.60901629091329,0.182962914150329,2232.23878630613,953.328130590618
"21","Tau_a~gamma(0.01,0.01), Tau~gamma(1,1), ","Middle_Fraser",2.47724032221083,0.225196202724257,1.18489020111769e-07,3.41572043433094e-07,0.518946663075682,0.181839068446436,1654.22033023245,851.704605168648
"22","Tau_a~gamma(0.1,0.1), Tau~gamma(0.01,0.01), ","Fraser_Canyon",2.67872629599691,0.255081576868552,3.22741857611982e-07,2.34104252379987e-07,0.650318246889838,0.18231664470377,560.456729106266,475.645165318698
"23","Tau_a~gamma(0.1,0.1), Tau~gamma(0.1,0.1), ","Lower_Thompson",2.56468808622401,0.237357061133087,1.24549101460223e-07,2.52991055384305e-07,0.636837776580881,0.18139833968212,1562.8319089216,726.746639224436
"24","Tau_a~gamma(0.1,0.1), Tau~gamma(1,1), ","North_Thompson",2.70948180909474,0.220232604186284,7.79226819296317e-08,1.86034535070736e-07,0.471785490351986,0.18207099296263,2415.11083408255,760.930545832985
"25","Tau_a~gamma(1,1), Tau~gamma(0.01,0.01), ","South_Thompson",2.48455494626344,0.234662618960675,8.78788820147184e-08,3.19338833114442e-07,0.615154828262705,0.181868794902806,2230.33845673731,956.981141753851
"26","Tau_a~gamma(1,1), Tau~gamma(0.1,0.1), ","Middle_Fraser",2.44513434232289,0.237689385345913,1.1980998449975e-07,3.75729095370614e-07,0.589131287355087,0.171880881243708,1635.81901783405,884.845789080049
"27","Tau_a~gamma(1,1), Tau~gamma(1,1), ","Fraser_Canyon",2.63256762093471,0.263056593257917,3.2127103187289e-07,2.47615720786122e-07,0.695826290721137,0.172234155161667,565.469193800408,484.617366790683
"28","Tau_a~gamma(0.01,0.01), Tau~gamma(0.01,0.01), ","Lower_Thompson",2.5254267959826,0.246161405168424,1.24717162178171e-07,2.68460715165553e-07,0.684079932695749,0.171516187094581,1560.80035495801,742.550449679122
"29","Tau_a~gamma(0.01,0.01), Tau~gamma(0.1,0.1), ","North_Thompson",2.65585227701076,0.234672136609314,7.71227139901225e-08,2.14802182973632e-07,0.553223617350857,0.172068289981904,2451.22533566915,833.879233354346
"30","Tau_a~gamma(0.01,0.01), Tau~gamma(1,1), ","South_Thompson",2.44953893944675,0.24410455638085,8.84422014551883e-08,3.3975376484122e-07,0.666843571930157,0.171901220599541,2215.97877282588,988.537086193799
"31","Tau_a~gamma(0.1,0.1), Tau~gamma(0.01,0.01), ","Middle_Fraser",2.43497590127288,0.329791918004079,1.12118712040675e-07,3.83230247653444e-07,0.509619226972814,0.182513026451986,1746.30376603185,925.991996299434
"32","Tau_a~gamma(0.1,0.1), Tau~gamma(0.1,0.1), ","Fraser_Canyon",2.75524330992648,0.377378285665987,3.4134328416879e-07,2.59690414965539e-07,0.642427793509071,0.182812021531386,511.444201295502,449.979811911203
"33","Tau_a~gamma(0.1,0.1), Tau~gamma(1,1), ","Lower_Thompson",2.55351315015709,0.34767396926456,1.23637882785836e-07,2.80991063775177e-07,0.631171999483589,0.182532365845552,1576.24685958404,764.027236722121
"34","Tau_a~gamma(1,1), Tau~gamma(0.01,0.01), ","North_Thompson",2.75069445345351,0.320362908644712,8.06083504163916e-08,1.88283037945291e-07,0.460626967932405,0.182844225456815,2300.20223051128,753.432413722111
"35","Tau_a~gamma(1,1), Tau~gamma(0.1,0.1), ","South_Thompson",2.43462723792841,0.344926546630575,8.32543335490406e-08,3.66032557304969e-07,0.607983501806229,0.182535319493624,2351.05055962669,1058.97863431411
"36","Tau_a~gamma(1,1), Tau~gamma(1,1), ","Middle_Fraser",2.42986928134918,0.332333078456375,1.12199251944184e-07,3.88979118168847e-07,0.518173418840963,0.18142949029731,1745.07775418827,932.502532717182
"37","Tau_a~gamma(0.01,0.01), Tau~gamma(0.01,0.01), ","Fraser_Canyon",2.74924577076248,0.379335641289555,3.41237669930947e-07,2.61634996775879e-07,0.647791880668269,0.18172022309542,511.851482073458,451.122751720051
"38","Tau_a~gamma(0.01,0.01), Tau~gamma(0.1,0.1), ","Lower_Thompson",2.54813255124021,0.349571942341187,1.2366939777029e-07,2.83193794181556e-07,0.636725313970907,0.181444526033617,1575.84257417019,766.410331223447
"39","Tau_a~gamma(0.01,0.01), Tau~gamma(1,1), ","North_Thompson",2.74438138285737,0.32324345028742,8.05671360352044e-08,1.92285769122206e-07,0.470756323890666,0.181738483250582,2302.11613421808,763.445699872106
"40","Tau_a~gamma(0.1,0.1), Tau~gamma(0.01,0.01), ","South_Thompson",2.42944734262491,0.346942715402582,8.33023828140761e-08,3.69244238091393e-07,0.614125091198301,0.181451314957204,2349.7303970077,1064.35461452495
"41","Tau_a~gamma(0.1,0.1), Tau~gamma(0.1,0.1), ","Middle_Fraser",2.39306219657053,0.352390774876214,1.12866433374608e-07,4.35169032374952e-07,0.58835292829348,0.171557692198186,1735.05216500246,986.287415298592
"42","Tau_a~gamma(0.1,0.1), Tau~gamma(1,1), ","Fraser_Canyon",2.70437952212486,0.395141745296461,3.4021795435299e-07,2.78101218907115e-07,0.693506255437358,0.171787154525617,515.501726395277,460.890019421717
"43","Tau_a~gamma(1,1), Tau~gamma(0.01,0.01), ","Lower_Thompson",2.50872941761256,0.364834218024475,1.23889616647734e-07,3.01827115370568e-07,0.68398831690313,0.171543791830205,1572.9985368379,787.059611153878
"44","Tau_a~gamma(1,1), Tau~gamma(0.1,0.1), ","North_Thompson",2.69727673431959,0.345789668748601,8.02058932984976e-08,2.24156644381681e-07,0.552050223667651,0.171740083321694,2318.66261966227,845.441366260058
"45","Tau_a~gamma(1,1), Tau~gamma(1,1), ","South_Thompson",2.3919592991755,0.363035208636574,8.36863145334771e-08,3.95998452702934e-07,0.665891198718018,0.171575861439301,2339.32198835861,1109.92888946753
