"CU_Name","NME","Area","SummerRun","Rabcode"
"1 - Southern Coastal Streams","AHTA RIVER",12,TRUE,"90-6210"
"1 - Southern Coastal Streams","AHTA VALLEY CREEK",12,TRUE,"90-6215"
"1 - Southern Coastal Streams","ALLARDYCE CREEK",12,FALSE,"90-6400-100"
"1 - Southern Coastal Streams","BUGHOUSE CREEK",12,TRUE,"90-7400"
"1 - Southern Coastal Streams","CHARLES CREEK",12,FALSE,"90-6600"
"1 - Southern Coastal Streams","COHOE CREEK",12,TRUE,"90-7840"
"1 - Southern Coastal Streams","DRIFTWOOD CREEK",11,FALSE,"90-9500"
"1 - Southern Coastal Streams","EMBLEY CREEK",12,FALSE,"90-7200"
"1 - Southern Coastal Streams","GILFORD CREEK",12,FALSE,"90-6300-250"
"1 - Southern Coastal Streams","HAUSKIN CREEK",12,FALSE,"90-7480"
"1 - Southern Coastal Streams","HOEYA HEAD CREEK",12,FALSE,"90-5898"
"1 - Southern Coastal Streams","HOEYA SOUND CREEK",12,FALSE,"90-5900"
"1 - Southern Coastal Streams","JENNIS BAY CREEK",12,FALSE,"90-7420"
"1 - Southern Coastal Streams","KAKWEIKEN RIVER",12,TRUE,"90-6100"
"1 - Southern Coastal Streams","KENNETH RIVER",12,FALSE,"90-7800"
"1 - Southern Coastal Streams","KINGCOME RIVER",12,TRUE,"90-6500"
"1 - Southern Coastal Streams","LULL CREEK",12,FALSE,"90-6000"
"1 - Southern Coastal Streams","MACKENZIE RIVER",12,FALSE,"90-7100"
"1 - Southern Coastal Streams","MAPLE CREEK",12,FALSE,"90-6300-300"
"1 - Southern Coastal Streams","MARION CREEK",12,FALSE,"90-7500"
"1 - Southern Coastal Streams","MATSIU CREEK",12,FALSE,"90-5800"
"1 - Southern Coastal Streams","MCALISTER CREEK",12,FALSE,"90-6090"
"1 - Southern Coastal Streams","NIMMO CREEK",12,FALSE,"90-7115"
"1 - Southern Coastal Streams","SCOTT COVE CREEK",12,FALSE,"90-6300-370"
"1 - Southern Coastal Streams","SHELTER BAY CREEK",12,FALSE,"90-7910"
"1 - Southern Coastal Streams","SHOAL HARBOUR CREEK",12,FALSE,"90-6300-340"
"1 - Southern Coastal Streams","SIMOOM SOUND CREEK",12,FALSE,"90-6350"
"1 - Southern Coastal Streams","VINER SOUND CREEK",12,TRUE,"90-6300-400"
"1 - Southern Coastal Streams","WAHKANA BAY CREEK",12,FALSE,"90-6300-470"
"1 - Southern Coastal Streams","WAKEMAN RIVER",12,TRUE,"90-6900"
"1 - Southern Coastal Streams","WALDON CREEK",12,FALSE,"90-4800-650"
"2 - North East Vancouver Island","ADAM RIVER",12,FALSE,"92-1600"
"2 - North East Vancouver Island","AMOR DE COSMOS CREEK",13,FALSE,"92-1800"
"2 - North East Vancouver Island","CLUXEWE RIVER",12,FALSE,"92-1100"
"2 - North East Vancouver Island","HYDE CREEK",12,FALSE,"92-1280"
"2 - North East Vancouver Island","KEOGH RIVER",12,FALSE,"92-1000"
"2 - North East Vancouver Island","KOKISH RIVER",12,FALSE,"92-1400"
"2 - North East Vancouver Island","MILLS CREEK",12,FALSE,"92-1210"
"2 - North East Vancouver Island","NAHWITTI RIVER",12,FALSE,"92-0300"
"2 - North East Vancouver Island","NIMPKISH RIVER",12,FALSE,"92-1300"
"2 - North East Vancouver Island","PYE CREEK",13,FALSE,"92-1900"
"2 - North East Vancouver Island","QUATSE RIVER",12,FALSE,"92-0900"
"2 - North East Vancouver Island","SALMON RIVER",13,FALSE,"92-1700"
"2 - North East Vancouver Island","SHUSHARTIE RIVER",12,FALSE,"92-0500"
"2 - North East Vancouver Island","SONGHEES CREEK",12,FALSE,"92-0700"
"2 - North East Vancouver Island","STRANBY RIVER",12,FALSE,"92-0200"
"2 - North East Vancouver Island","TSITIKA RIVER",12,FALSE,"92-1500"
"2 - North East Vancouver Island","TSULQUATE RIVER",12,FALSE,"92-0800"
"3 - Upper Knight","AHNUHATI RIVER",12,TRUE,"90-5500"
"3 - Upper Knight","FRANKLIN RIVER",12,FALSE,"90-5200"
"3 - Upper Knight","KLINAKLINI RIVER",12,FALSE,"90-5300"
"3 - Upper Knight","KWALATE CREEK",12,TRUE,"90-5600"
"3 - Upper Knight","SIM RIVER",12,FALSE,"90-5400"
"4 - Loughborough","APPLE RIVER",13,FALSE,"90-4100"
"4 - Loughborough","BACHUS CREEK",13,FALSE,"29-4460"
"4 - Loughborough","BOUGHEY CREEK",12,FALSE,"90-4700"
"4 - Loughborough","CALL CREEK",12,FALSE,"90-4820"
"4 - Loughborough","CAMELEON HARBOUR CREEK",13,FALSE,"92-2000-750"
"4 - Loughborough","CHONAT CREEK",13,FALSE,"92-2300-970"
"4 - Loughborough","CRACROFT CREEK",12,FALSE,"90-4800-240"
"4 - Loughborough","ELEPHANT CREEK",13,FALSE,"29-6460"
"4 - Loughborough","FANNY BAY CREEK",13,FALSE,"90-3920"
"4 - Loughborough","FRAZER CREEK",13,FALSE,"90-4205"
"4 - Loughborough","FREDERICK ARM CREEK",13,FALSE,"90-3786"
"4 - Loughborough","FULMORE RIVER",12,FALSE,"90-4600"
"4 - Loughborough","GLENDALE CREEK",12,FALSE,"90-4900-010"
"4 - Loughborough","GRANITE BAY CREEK",13,FALSE,"92-2300-810"
"4 - Loughborough","GRASSY CREEK",13,FALSE,"90-4000"
"4 - Loughborough","GRAY CREEK",13,FALSE,"90-4020"
"4 - Loughborough","HEMMING BAY CREEK",13,FALSE,"90-3800-020"
"4 - Loughborough","HEYDON CREEK",13,FALSE,"90-4300"
"4 - Loughborough","KAMANO BAY CREEK",12,FALSE,"90-4830-100"
"4 - Loughborough","KANISH CREEK",13,FALSE,"92-2300-860"
"4 - Loughborough","KNOX BAY CREEK",13,FALSE,"90-3800-100"
"4 - Loughborough","NEW VANCOUVER CREEK",12,FALSE,"90-4830-950"
"4 - Loughborough","OWEN CREEK",13,FALSE,"92-2000-390"
"4 - Loughborough","PHILLIPS RIVER",13,FALSE,"90-3900"
"4 - Loughborough","PORT HARVEY LAGOON CREEKS",12,FALSE,"90-4800-994"
"4 - Loughborough","POTTS LAGOON CREEK",12,FALSE,"90-4800-800"
"4 - Loughborough","PROTECTION POINT CREEK",12,FALSE,"90-4840"
"4 - Loughborough","READ CREEK",13,FALSE,"90-4460"
"4 - Loughborough","ROBBERS KNOB CREEK",12,FALSE,"90-4620"
"4 - Loughborough","SHOAL CREEK",12,FALSE,"90-4590"
"4 - Loughborough","ST. AUBYN CREEK",13,FALSE,"92-2000-420"
"4 - Loughborough","STAFFORD RIVER",13,FALSE,"90-4200"
"4 - Loughborough","THURSTON BAY CREEK",13,FALSE,"92-2000-870"
"4 - Loughborough","TUNA RIVER",12,FALSE,"90-4500"
"4 - Loughborough","VILLAGE BAY CREEK",13,FALSE,"92-2300-200"
"4 - Loughborough","WAIATT BAY CREEK",13,FALSE,"92-2300-070"
"4 - Loughborough","WORTLEY CREEK",13,FALSE,"90-4420"
"5 - Bute Inlet","CUMSACK CREEK",13,FALSE,"90-3600-010"
"5 - Bute Inlet","HOMATHKO RIVER",13,FALSE,"90-3600"
"5 - Bute Inlet","ORFORD RIVER",13,TRUE,"90-3400"
"5 - Bute Inlet","SOUTHGATE RIVER",13,FALSE,"90-3500"
"5 - Bute Inlet","TEAQUAHAN RIVER",13,FALSE,"90-3580"
"6 - Georgia Strait","ANDERSON CREEK",16,FALSE,"90-1690"
"6 - Georgia Strait","ANGUS CREEK",16,FALSE,"90-1915"
"6 - Georgia Strait","ANNIE CREEK",14,FALSE,"92-3520"
"6 - Georgia Strait","BAKER CREEK",16,FALSE,"90-2575"
"6 - Georgia Strait","BECK CREEK",17,FALSE,"92-4295"
"6 - Georgia Strait","BIRD COVE CREEK",13,FALSE,"92-2200-400"
"6 - Georgia Strait","BLACK LAKE CREEK",15,FALSE,"90-3100-510"
"6 - Georgia Strait","BLOODS CREEK",17,FALSE,"92-4100"
"6 - Georgia Strait","BOB CREEK",14,FALSE,"92-3275"
"6 - Georgia Strait","BONELL CREEK",17,FALSE,"92-4000"
"6 - Georgia Strait","BONSALL CREEK",17,FALSE,"92-4706"
"6 - Georgia Strait","BREM RIVER",15,FALSE,"90-3300"
"6 - Georgia Strait","BREM RIVER TRIBUTARY",15,FALSE,"90-3300-010"
"6 - Georgia Strait","BRITTAIN RIVER",16,FALSE,"90-2400"
"6 - Georgia Strait","BROOKLYN CREEK",14,FALSE,"92-2790"
"6 - Georgia Strait","BURNET CREEK",16,FALSE,"90-1910"
"6 - Georgia Strait","BUSH CREEK",17,FALSE,"92-4600"
"6 - Georgia Strait","CAMPBELL RIVER",13,FALSE,"92-2600"
"6 - Georgia Strait","CAMPBELL RIVER",29,FALSE,"90-0080"
"6 - Georgia Strait","CARLSON CREEK",16,FALSE,"90-1900"
"6 - Georgia Strait","CHAPMAN CREEK",16,FALSE,"90-1600"
"6 - Georgia Strait","CHASE RIVER",17,FALSE,"92-4290"
"6 - Georgia Strait","CHASTER CREEK",16,FALSE,"90-1550"
"6 - Georgia Strait","CHEF CREEK",14,FALSE,"92-3414"
"6 - Georgia Strait","CHEMAINUS RIVER",17,FALSE,"92-4700"
"6 - Georgia Strait","COOK CREEK",14,FALSE,"92-3412"
"6 - Georgia Strait","COWICHAN RIVER",18,FALSE,"92-4800"
"6 - Georgia Strait","COWIE CREEK",14,FALSE,"92-3200"
"6 - Georgia Strait","CRANBY CREEK",16,FALSE,"90-2800-770"
"6 - Georgia Strait","DEIGHTON CREEK",15,FALSE,"90-2765"
"6 - Georgia Strait","DEPARTURE CREEK",17,FALSE,"92-4180"
"6 - Georgia Strait","DESERTED RIVER",16,FALSE,"90-2255"
"6 - Georgia Strait","DORISTON CREEK",16,FALSE,"90-1830"
"6 - Georgia Strait","DREW CREEK",13,FALSE,"92-2300-310"
"6 - Georgia Strait","EARLE CREEK",16,FALSE,"90-2140"
"6 - Georgia Strait","ENGLISHMAN RIVER",14,FALSE,"92-3800"
"6 - Georgia Strait","FILER CREEK",15,FALSE,"90-3200-300"
"6 - Georgia Strait","FLUME CREEK",16,FALSE,"90-1580"
"6 - Georgia Strait","FORBES BAY CREEK",15,FALSE,"90-3083"
"6 - Georgia Strait","FORBES CREEK",15,FALSE,"90-3080"
"6 - Georgia Strait","FRENCH CREEK",14,FALSE,"92-3700"
"6 - Georgia Strait","FULFORD CREEK",18,FALSE,"92-4750-200"
"6 - Georgia Strait","GOLDSTREAM RIVER",19,FALSE,"92-5200"
"6 - Georgia Strait","GRAY CREEK",16,FALSE,"90-1920"
"6 - Georgia Strait","HALFMOON CREEK",16,FALSE,"90-1640"
"6 - Georgia Strait","HANSON'S CREEK",13,FALSE,"90-3050-700"
"6 - Georgia Strait","HART CREEK",14,FALSE,"92-2950-800"
"6 - Georgia Strait","HASLAM CREEK",17,FALSE,"92-4300-020"
"6 - Georgia Strait","HIGH CREEK",16,FALSE,"90-2202"
"6 - Georgia Strait","HOLLAND CREEK",17,FALSE,"92-4625"
"6 - Georgia Strait","HUNAECHIN CREEK",16,FALSE,"90-2300-020"
"6 - Georgia Strait","HYACINTHE CREEK",13,FALSE,"92-2300-270"
"6 - Georgia Strait","JEFFERD CREEK",16,FALSE,"90-2585"
"6 - Georgia Strait","KELLY CREEK",15,FALSE,"90-2725-900"
"6 - Georgia Strait","KINGFISHER CREEK",13,FALSE,"92-2600-005"
"6 - Georgia Strait","KITTY COLEMAN CREEK",14,FALSE,"92-2740"
"6 - Georgia Strait","KLITE RIVER",15,FALSE,"90-3200-050"
"6 - Georgia Strait","KNARSTON CREEK",17,FALSE,"92-4050"
"6 - Georgia Strait","KOKSILAH RIVER",18,FALSE,"92-4800-020"
"6 - Georgia Strait","LANG CREEK",15,FALSE,"90-2720"
"6 - Georgia Strait","LITTLE QUALICUM RIVER",14,FALSE,"92-3600"
"6 - Georgia Strait","LITTLE TOBA RIVER",15,FALSE,"90-3200-200"
"6 - Georgia Strait","LOIS RIVER",15,FALSE,"90-2700"
"6 - Georgia Strait","MCNAUGHTON CREEK",14,FALSE,"92-3410"
"6 - Georgia Strait","MENZIES CREEK",13,FALSE,"92-2500"
"6 - Georgia Strait","MILLARD CREEK",14,FALSE,"92-2830"
"6 - Georgia Strait","MILLSTONE RIVER",17,FALSE,"92-4200"
"6 - Georgia Strait","MOHUN CREEK",13,FALSE,"92-2520"
"6 - Georgia Strait","MORRISON CREEK",14,FALSE,"92-2800-020"
"6 - Georgia Strait","MOUAT CREEK",16,FALSE,"90-2800-730"
"6 - Georgia Strait","MURRAY CREEK",29,FALSE,"90-0100-030"
"6 - Georgia Strait","MYRTLE CREEK",15,FALSE,"90-2800-120-950"
"6 - Georgia Strait","NANAIMO RIVER",17,FALSE,"92-4300"
"6 - Georgia Strait","NANOOSE CREEK",17,FALSE,"92-3900"
"6 - Georgia Strait","NAPOLEON CREEK",17,FALSE,"92-4300-020-011"
"6 - Georgia Strait","NICOMEKL RIVER",29,FALSE,"90-0100"
"6 - Georgia Strait","NILE CREEK",14,FALSE,"92-3480"
"6 - Georgia Strait","OKEOVER CREEK",15,FALSE,"90-2950"
"6 - Georgia Strait","OPEN BAY CREEK",13,FALSE,"92-2300-250"
"6 - Georgia Strait","OYSTER RIVER",14,FALSE,"92-2700"
"6 - Georgia Strait","PARK CREEK",16,FALSE,"90-2580-010"
"6 - Georgia Strait","PENDRELL SOUND CREEK",15,FALSE,"90-3100-310"
"6 - Georgia Strait","PORTER CREEK",17,FALSE,"92-4665"
"6 - Georgia Strait","PORTUGUESE CREEK",14,FALSE,"92-2800-010-010"
"6 - Georgia Strait","PUNTLEDGE RIVER",14,FALSE,"92-2800-110-010"
"6 - Georgia Strait","QUALICUM RIVER",14,FALSE,"92-3500"
"6 - Georgia Strait","QUATAM RIVER",13,FALSE,"90-3335"
"6 - Georgia Strait","QUINSAM RIVER",13,FALSE,"92-2600-010"
"6 - Georgia Strait","REFUGE COVE CREEK",15,FALSE,"90-3100-580"
"6 - Georgia Strait","ROBERTS CREEK",16,FALSE,"90-1575"
"6 - Georgia Strait","ROSEWALL CREEK",14,FALSE,"92-3400"
"6 - Georgia Strait","ROY CREEK",14,FALSE,"92-2880"
"6 - Georgia Strait","RUBY CREEK",16,FALSE,"90-1700"
"6 - Georgia Strait","SALMON RIVER",29,FALSE,"00-0300"
"6 - Georgia Strait","SANDY CREEK",14,FALSE,"92-3418"
"6 - Georgia Strait","SECHELT CREEK",16,FALSE,"90-1990"
"6 - Georgia Strait","SERPENTINE RIVER",29,FALSE,"90-0200"
"6 - Georgia Strait","SHAWNIGAN CREEK",19,FALSE,"92-5000"
"6 - Georgia Strait","SIMMS CREEK",13,FALSE,"92-2640"
"6 - Georgia Strait","SKWAWKA RIVER",16,FALSE,"90-2300"
"6 - Georgia Strait","SLIAMMON CREEK",15,FALSE,"90-2910"
"6 - Georgia Strait","SNAKE BAY CREEK",16,FALSE,"90-1903"
"6 - Georgia Strait","STOCKING CREEK",17,FALSE,"92-4650"
"6 - Georgia Strait","STORE CREEK",15,FALSE,"90-3050-200"
"6 - Georgia Strait","STORIE CREEK",14,FALSE,"92-2672"
"6 - Georgia Strait","STORM CREEK",16,FALSE,"90-2060"
"6 - Georgia Strait","TAHUMMING RIVER",15,FALSE,"90-3210"
"6 - Georgia Strait","THEODOSIA RIVER",15,TRUE,"90-3000"
"6 - Georgia Strait","TOBA RIVER",15,FALSE,"90-3200"
"6 - Georgia Strait","TRENT RIVER",14,FALSE,"92-2900"
"6 - Georgia Strait","TSABLE RIVER",14,FALSE,"92-3000"
"6 - Georgia Strait","TSOLUM RIVER",14,FALSE,"92-2800-010"
"6 - Georgia Strait","TSUAHDI CREEK",16,FALSE,"90-2255-010"
